,,,2021-09-01 through 2022-09-01,,,,New maintainer requests,,,,,,,,,,,,,,,,,,,,,,,,
# Repo,URL,Current Maintainer,PR Count,Issue Count,Cost,Current Maintainer Request,Request 1,Request 2,Request 3,Request 4,per-person,Claimed,Accounted For,wjwwood,ivanpauno,mjeronimo,sloretz,clalancette,tfoote,ahcorde,cottsay,nuclearsandwich,hidmic,gbiggs,adityapande-1995,audrow,scpeters,quarkytale,methylDragon,codebot,External
ros2/rpyutils,https://github.com/ros2/rpyutils.git,quarkytale,2,1,1,quarkytale,,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/spdlog_vendor,https://github.com/ros2/spdlog_vendor.git,quarkytale,5,0,1,quarkytale,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,1,,,
ros2/teleop_twist_joy,https://github.com/ros2/teleop_twist_joy.git,clalancette,3,0,1,clalancette,ahcorde,,,,1,1,1,,,,,1,,1,,,,,,,,,,,
ros2/teleop_twist_keyboard,https://github.com/ros2/teleop_twist_keyboard.git,clalancette,1,1,1,clalancette,ahcorde,,,,1,1,1,,,,,1,,1,,,,,,,,,,,
ros2/tinyxml2_vendor,https://github.com/ros2/tinyxml2_vendor.git,audrow,1,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/tinyxml_vendor,https://github.com/ros2/tinyxml_vendor.git,gbiggs,3,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/tlsf,https://github.com/ros2/tlsf.git,methylDragon,3,0,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/unique_identifier_msgs,https://github.com/ros2/unique_identifier_msgs.git,methylDragon,4,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros2/variants,https://github.com/ros2/variants.git,,3,1,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-infrastructure/rosdoc_lite,https://github.com/ros-infrastructure/rosdoc_lite.git,tfoote,1,1,1,,tfoote,,,,1,1,1,,,,,,1,,,,,,,,,,,,
ros-perception/laser_geometry,https://github.com/ros-perception/laser_geometry.git,,4,1,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros/console_bridge,https://github.com/ros/console_bridge.git,scpeters,4,1,1,,scpeters,,,,1,1,1,,,,,,,,,,,,,,1,,,,
ros/eigen_stl_containers,https://github.com/ros/eigen_stl_containers.git,clalancette; sloretz,0,0,1,clalancette,,,,,1,1,1,,,,,1,,,,,,,,,,,,,
ros/urdf_parser_py,https://github.com/ros/urdf_parser_py.git,clalancette; sloretz,3,2,1,clalancette,,,,,1,1,1,,,,,1,,,,,,,,,,,,,
ros-visualization/rqt_action,https://github.com/ros-visualization/rqt_action.git,gbiggs; mabelzhang; mikaelarguedas; ablasdel,1,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/rqt_common_plugins,https://github.com/ros-visualization/rqt_common_plugins.git,ivanpauno,2,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/rqt_console,https://github.com/ros-visualization/rqt_console.git,dirk-thomas; ablasdel; arnehitzmann,0,1,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros-visualization/rqt_msg,https://github.com/ros-visualization/rqt_msg.git,audrow,2,0,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros-visualization/rqt_publisher,https://github.com/ros-visualization/rqt_publisher.git,dirk-thomas; dorianscholz,3,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros-visualization/rqt_py_console,https://github.com/ros-visualization/rqt_py_console.git,dorianscholz; mlautman,1,0,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros-visualization/rqt_service_caller,https://github.com/ros-visualization/rqt_service_caller.git,dirk-thomas; mlautman; dorianscholz,2,1,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros-visualization/rqt_shell,https://github.com/ros-visualization/rqt_shell.git,dorianscholz; kunaltyagi,2,0,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros-visualization/rqt_srv,https://github.com/ros-visualization/rqt_srv.git,dirk-thomas; ablasdel; mlautman,1,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros-visualization/tango_icons_vendor,https://github.com/ros-visualization/tango_icons_vendor.git,audrow,1,0,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum,,,,,1160,,,,,,77.33333333,1160,1160,92,82.66666667,79,83,145,19.5,96.16666667,68.33333333,12.33333333,33.33333333,83.66666667,81.16666667,99.5,1,74.66666667,86.66666667,27,0
